sort_order,page,story_id,story_record,brand,top_category,subcategory,sku,product_name,description,notes,color,list_price,map_price,net_price,net_price_if_buy_6_or_more,net_price_if_buy_12_or_more,source_image_name,normalized_image_path
,230,ua5c,1,Feadóg,"Harmonicas, Books & Novelties",Novelties,FW02,Brass Whistle with Book,,,,$39.50,,$17.78,,,feadog_fw02_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/feadog_fw02_default.png"
,231,u1976,1,Trophy,"Harmonicas, Books & Novelties",Novelties,FN120,Plastic Kazoo,,,,$3.95,,$1.88,,,trophy_fn120_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_fn120_default.png"
,231,u1926,1,Trophy,"Harmonicas, Books & Novelties",Novelties,701B,Metal Kazoo,,,,$5.50,,$2.48,,,trophy_701b_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_701b_default.png"
,230,ua17,1,Trophy,"Harmonicas, Books & Novelties",Novelties,12050,Plastic Kazoo Display,,,,$64.50,,$29.03,,,trophy_12050_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_12050_default.png"
,231,u1992,1,Trophy,"Harmonicas, Books & Novelties",Novelties,3470,Musical Spoons,,,,$13.95,,$6.28,,,trophy_3470_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_3470_default.png"
,231,u1a60,1,Grover,"Harmonicas, Books & Novelties",Novelties,8020,Tuning Hammer,,,,$8.95,,$4.03,,,grover_8020_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_8020_default.png"
,230,u1a2e,1,Economy,"Harmonicas, Books & Novelties",Novelties,GPGEO-CM,Guitar Purse,,,,$29.95,,$15.95,$14.95,,economy_gpgeo-cm_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpgeo-cm_default.png"
,230,u1a46,1,Economy,"Harmonicas, Books & Novelties",Novelties,GPNOT-CP,Guitar Purse,,,,$29.95,,$15.95,$14.95,,economy_gpnot-cp_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpnot-cp_default.png"
,230,ub93,1,Economy,"Harmonicas, Books & Novelties",Novelties,GPALL-BG,Guitar Purse,,,,$29.95,,$15.95,$14.95,,economy_gpall-bg_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpall-bg_default.png"
,231,uc52,1,Grover,"Harmonicas, Books & Novelties",Novelties,FN600,Melody Harp,,,,$76.50,,$36.15,,,grover_fn600_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_fn600_default.png"
,231,ub65,1,Grover,"Harmonicas, Books & Novelties",Novelties,MINHARP,Mini Harp,,,,$24.95,,$12.95,,,grover_minharp_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_minharp_default.png"
,229,ua8a,1,Snoopys Harp,"Harmonicas, Books & Novelties",Novelties,3490,Jaw Harp,,,,$8.95,,$4.25,,$4.03,snoopys-harp_3490_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/snoopys-harp_3490_default.png"
,229,uafc,1,Trophy,"Harmonicas, Books & Novelties",Novelties,8037,Bluegrass Jaw Harp,,,,$7.50,,$3.75,,$3.56,trophy_8037_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_8037_default.png"
,230,ua45,1,Trophy,"Harmonicas, Books & Novelties",Novelties,3485,Jaw Harps,,,,$115.95,,$52.18,,,trophy_3485_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_3485_default.png"
